site_id,site_name,county,aqi,pollutant,status,pm25,pm10,so2,no2,co,o3,wind_speed,wind_direction,data_time,latitude,longitude
1,基隆,基隆市,36,,良好,,35.0,1.0,4.0,0.25,,,,,25.129167,121.760056
2,汐止,新北市,31,,良好,9.0,17.0,1.7,13.0,0.21,30.0,,,,25.06624,121.64081
4,新店,新北市,35,,良好,12.0,11.0,,,,31.0,,,,24.977222,121.537778
5,土城,新北市,31,,良好,9.0,21.0,1.4,12.0,0.3,31.0,,,,24.982528,121.451861
6,板橋,新北市,33,,良好,10.0,21.0,1.3,11.0,0.3,32.0,,,,25.012972,121.458667
7,新莊,新北市,34,,良好,13.0,16.0,0.9,9.0,0.25,36.0,,,,25.037972,121.4325
8,菜寮,新北市,34,,良好,14.0,25.0,1.0,10.0,0.33,33.0,,,,25.06895,121.481028
9,林口,新北市,29,,良好,17.0,18.0,2.4,12.0,0.28,29.0,,,,25.07798949,121.36548982
10,淡水,新北市,33,,良好,10.0,11.0,1.0,4.0,0.36,35.0,,,,25.1645,121.449239
11,士林,臺北市,27,,良好,6.0,18.0,1.0,9.0,0.25,33.0,,,,25.10334003,121.51666356
12,中山,臺北市,36,,良好,20.0,37.0,1.1,15.0,0.39,27.0,,,,25.062361,121.526528
13,萬華,臺北市,31,,良好,17.0,24.0,1.1,13.0,0.28,30.0,,,,25.046503,121.507972
14,古亭,臺北市,31,,良好,14.0,23.0,1.5,11.0,0.27,31.0,,,,25.020608,121.529556
15,松山,臺北市,36,,良好,14.0,23.0,1.8,15.0,0.27,28.0,,,,25.05,121.578611
16,大同,臺北市,52,細懸浮微粒,普通,23.0,28.0,1.9,24.0,0.5,19.0,,,,25.06331455,121.51342074
17,桃園,桃園市,41,,良好,22.0,26.0,0.9,10.0,0.31,34.0,,,,24.9947107,121.30500531
18,大園,桃園市,50,,良好,13.0,26.0,2.1,21.0,0.28,26.0,,,,25.06100357,121.20251473
19,觀音,桃園市,32,,良好,,23.0,,,,35.0,,,,25.03556747,121.08283092
20,平鎮,桃園市,55,細懸浮微粒,普通,12.0,16.0,1.1,11.0,0.34,33.0,,,,24.952786,121.203986
21,龍潭,桃園市,32,,良好,13.0,8.0,1.4,11.0,0.27,30.0,,,,24.86400048,121.21645772
22,湖口,新竹縣,31,,良好,5.0,21.0,0.6,10.0,0.28,31.0,,,,24.90009696,121.03886894
23,竹東,新竹縣,25,,良好,1.0,8.0,1.0,6.0,0.2,30.0,,,,24.74091408,121.08895493
24,新竹,新竹市,29,,良好,11.0,20.0,1.9,11.0,0.31,34.0,,,,24.8056356,120.97236752
25,頭份,苗栗縣,26,,良好,5.0,13.0,1.3,8.0,0.26,33.0,,,,24.69690679,120.89869286
26,苗栗,苗栗縣,26,,良好,5.0,5.0,1.4,6.0,0.2,30.0,,,,24.56499183,120.82011468
27,三義,苗栗縣,26,,良好,5.0,6.0,0.9,3.0,0.2,26.0,,,,24.38248443,120.75956754
28,豐原,臺中市,42,,良好,4.0,17.0,1.7,6.0,0.26,33.0,,,,24.25699731,120.74252414
29,沙鹿,臺中市,41,,良好,4.0,20.0,1.2,7.0,0.23,31.0,,,,24.225628,120.568794
30,大里,臺中市,65,細懸浮微粒,普通,15.0,36.0,1.5,14.0,0.37,32.0,,,,24.09961111,120.67844444
31,忠明,臺中市,52,細懸浮微粒,普通,15.0,,1.9,11.0,0.31,,,,,24.151958,120.641092
32,西屯,臺中市,44,,良好,6.0,22.0,1.5,9.0,0.24,31.0,,,,24.162197,120.616917
33,彰化,彰化縣,55,細懸浮微粒,普通,8.0,22.0,1.0,10.0,0.27,31.0,,,,24.066,120.541519
34,線西,彰化縣,42,,良好,9.0,30.0,2.6,12.0,0.33,29.0,,,,24.131672,120.469061
35,二林,彰化縣,96,懸浮微粒,普通,9.0,142.0,2.7,9.0,0.32,32.0,,,,23.925175,120.409653
36,南投,南投縣,82,細懸浮微粒,普通,26.0,46.0,0.6,14.0,0.38,31.0,,,,23.913,120.685306
37,斗六,雲林縣,101,細懸浮微粒,對敏感族群不健康,38.0,63.0,1.6,9.0,0.32,42.0,,,,23.711853,120.544994
38,崙背,雲林縣,56,細懸浮微粒,普通,11.0,27.0,1.7,7.0,0.3,31.0,,,,23.757547,120.348742
39,新港,嘉義縣,67,細懸浮微粒,普通,12.0,46.0,1.6,5.0,0.25,38.0,,,,23.554839,120.345531
