site_id,site_name,county,aqi,pollutant,status,pm25,pm10,so2,no2,co,o3,wind_speed,wind_direction,data_time,latitude,longitude,distance_to_taipei
48,橋頭,高雄市,122,細懸浮微粒,對敏感族群不健康,36.0,65.0,1.8,16.0,0.34,37.0,,,,22.757506,120.305689,282.87
49,仁武,高雄市,122,細懸浮微粒,對敏感族群不健康,38.0,84.0,2.0,23.0,0.41,36.0,,,,22.689056,120.332631,288.6
52,林園,高雄市,121,細懸浮微粒,對敏感族群不健康,38.0,,,,,49.0,,,,22.4795,120.41175,306.93
58,小港,高雄市,121,細懸浮微粒,對敏感族群不健康,45.0,87.0,3.8,35.0,0.49,31.0,,,,22.565833,120.337736,300.92
50,鳳山,高雄市,118,細懸浮微粒,對敏感族群不健康,38.0,76.0,2.4,25.0,0.61,42.0,,,,22.628126,120.357422,293.76
71,復興,高雄市,118,細懸浮微粒,對敏感族群不健康,39.0,77.0,1.5,17.0,0.48,42.0,,,,22.608711,120.312017,297.62
204,屏東（琉球）,屏東縣,117,細懸浮微粒,對敏感族群不健康,28.0,53.0,1.4,6.0,0.3,50.0,,,,22.35222,120.37722,321.41
53,楠梓,高雄市,116,細懸浮微粒,對敏感族群不健康,43.0,92.0,2.7,16.0,0.36,36.0,,,,22.733667,120.328289,284.28
57,前鎮,高雄市,116,細懸浮微粒,對敏感族群不健康,31.0,67.0,2.3,17.0,0.44,43.0,,,,22.6044507,120.30833356,298.2
60,潮州,屏東縣,116,細懸浮微粒,對敏感族群不健康,23.0,49.0,1.2,5.0,0.24,39.0,,,,22.523108,120.561175,297.1
56,前金,高雄市,113,細懸浮微粒,對敏感族群不健康,40.0,85.0,1.6,18.0,0.41,43.0,,,,22.63390278,120.28676111,296.14
54,左營,高雄市,112,細懸浮微粒,對敏感族群不健康,35.0,71.0,2.3,15.0,0.37,40.0,,,,22.674861,120.292917,291.74
51,大寮,高雄市,111,細懸浮微粒,對敏感族群不健康,18.0,42.0,1.5,7.0,0.21,37.0,,,,22.56413611,120.425311,297.66
59,屏東,屏東縣,107,細懸浮微粒,對敏感族群不健康,24.0,38.0,,6.0,0.21,43.0,,,,22.673081,120.488033,284.03
37,斗六,雲林縣,101,細懸浮微粒,對敏感族群不健康,38.0,63.0,1.6,9.0,0.32,42.0,,,,23.711853,120.544994,178.21
