序號,設施名稱,is_indoor,分類原因
2,金門縣烈嶼鄉林湖村辦公處,True,包含強制室內關鍵字: 辦公處
3,南坑村集會所暨南外社區活動中心,True,包含強制室內關鍵字: 活動中心
7,澤仁里辦公處,True,包含強制室內關鍵字: 辦公處
8,奎輝里活動中心,True,包含強制室內關鍵字: 活動中心
9,高義教會,True,預設室內
10,東莒老人活動中心,True,包含強制室內關鍵字: 活動中心
11,福正風景管理處,True,預設室內
12,莒光指揮部國軍文康中心,True,預設室內
13,田沃老人活動中心,True,包含強制室內關鍵字: 活動中心
14,青帆老人活動中心,True,包含強制室內關鍵字: 活動中心
15,敬恆國中小禮堂,True,包含強制室內關鍵字: 國中
16,東莒國小綜合教室,True,包含強制室內關鍵字: 國小
18,上大社區活動中心,True,包含強制室內關鍵字: 活動中心
19,武威社區活動中心,True,包含強制室內關鍵字: 活動中心
20,塔腳社區活動中心,True,包含強制室內關鍵字: 活動中心
21,廣福社區活動中心,True,包含強制室內關鍵字: 活動中心
22,草漯國民小學,True,預設室內
23,上大國民小學,True,預設室內
24,崙坪國民小學,True,預設室內
25,富林國民小學,True,預設室內
26,樹林國民小學,True,預設室內
27,觀音區公所綠資源中心,True,包含強制室內關鍵字: 公所
29,高雄市前鎮區光華國民小學,True,預設室內
30,大武國小,True,包含強制室內關鍵字: 國小
31,尖山國小操場,False,操場預設為室外
32,高雄市小港區鳳林國民小學,True,預設室內
45,大武社區活動中心,True,包含強制室內關鍵字: 活動中心
47,佳義社區活動中心,True,包含強制室內關鍵字: 活動中心
48,中東社區活動中心,True,包含強制室內關鍵字: 活動中心
49,崇實高工體育館,True,包含強制室內關鍵字: 體育館
50,東芳國小,True,包含強制室內關鍵字: 國小
51,三義社區活動中心,True,包含強制室內關鍵字: 活動中心
52,大同國中,True,包含強制室內關鍵字: 國中
53,員林農工體育館,True,包含強制室內關鍵字: 體育館
54,員林市員東國小,True,包含強制室內關鍵字: 國小
55,員林市員林國中活動中心,True,包含強制室內關鍵字: 國中
56,員林市員林國小,True,包含強制室內關鍵字: 國小
57,健康公園,False,包含室外關鍵字: 公園
58,屏東市信義國小,True,包含強制室內關鍵字: 國小
59,光隆營區,True,預設室內
60,大快官藝文館,True,預設室內
61,彰德國中勤學樓、育英樓穿堂,True,包含強制室內關鍵字: 國中
62,介壽社區活動中心,True,包含強制室內關鍵字: 活動中心
63,國聖國小,True,包含強制室內關鍵字: 國小
64,石牌國小,True,包含強制室內關鍵字: 國小
65,茄苳社區活動中心,True,包含強制室內關鍵字: 活動中心
66,三民國小,True,包含強制室內關鍵字: 國小
67,南北管戲曲音樂館,True,預設室內
68,牛埔社區活動中心,True,包含強制室內關鍵字: 活動中心
69,桃源社區活動中心,True,包含強制室內關鍵字: 活動中心
70,南興社區活動中心,True,包含強制室內關鍵字: 活動中心
71,快官社區活動中心,True,包含強制室內關鍵字: 活動中心
72,福山社區活動中心,True,包含強制室內關鍵字: 活動中心
73,延和社區活動中心,True,包含強制室內關鍵字: 活動中心
74,泰和國小,True,包含強制室內關鍵字: 國小
75,彰興國中,True,包含強制室內關鍵字: 國中
76,信義國中小,True,包含強制室內關鍵字: 國中
77,雅溝社區活動中心,True,包含強制室內關鍵字: 活動中心
117,楓林國小,True,包含強制室內關鍵字: 國小
118,丹路國小,True,包含強制室內關鍵字: 國小
119,獅子鄉立綜合體育館,True,包含強制室內關鍵字: 體育館
120,東源村活動中心,True,包含強制室內關鍵字: 活動中心
121,內文活動中心,True,包含強制室內關鍵字: 活動中心
122,獅子活動中心,True,包含強制室內關鍵字: 活動中心
123,草埔活動中心,True,包含強制室內關鍵字: 活動中心
124,枋山鄉公所,True,包含強制室內關鍵字: 公所
125,枋寮高中正成分校,True,包含強制室內關鍵字: 高中
133,大南國民小學,True,預設室內
134,內獅國小,True,包含強制室內關鍵字: 國小
135,南興村社區活動中心,True,包含強制室內關鍵字: 活動中心
137,加祿國民小學,True,預設室內
141,尚武村社區活動中心,True,包含強制室內關鍵字: 活動中心
142,大武鄉立托兒所,True,預設室內
145,老人文康活動中心,True,包含強制室內關鍵字: 活動中心
146,大武老人會館,True,預設室內
147,大武鄉多功能綜合活動中心暨避難收容所,True,包含強制室內關鍵字: 活動中心
148,古華社區活動中心,True,包含強制室內關鍵字: 活動中心
149,大武村社區活動中心,True,包含強制室內關鍵字: 活動中心
150,古華國民小學,True,預設室內
151,僑德國小,True,包含強制室內關鍵字: 國小
152,枋寮國小,True,包含強制室內關鍵字: 國小
153,士文聚會所,True,預設室內
154,古華國民小學-士文分校,True,包含強制室內關鍵字: 校
155,春日社區活動中心,True,包含強制室內關鍵字: 活動中心
156,春日國民小學,True,預設室內
157,枋寮高中,True,包含強制室內關鍵字: 高中
158,臺東縣立安朔國小新化分校,True,包含強制室內關鍵字: 國小
159,建興國小,True,包含強制室內關鍵字: 國小
162,東海國小,True,包含強制室內關鍵字: 國小
164,東海國小太源分校,True,包含強制室內關鍵字: 國小
165,國立佳冬高農,True,預設室內
